P/MPa	Temperature/°C
	0	25	50	75	100	150	200	250	300	350	375	400	425	450	475	500	550	600	650	700	750	800
	
	_____________________________________________________________________ Dynamic Viscosity / µPa.s _____________________________________________________________________________ 
0.1	1792	890.1	546.8	377.7	12.27	14.18	16.18	18.22	20.29	22.37	23.41	24.45	25.49	26.52	27.55	28.57	30.61	32.62	34.60	36.55	38.48	40.38
0.5	1791	890.0	546.9	377.8	281.8	182.5	16.05	18.14	20.24	22.34	23.39	24.44	25.48	26.52	27.55	28.58	30.62	32.63	34.61	36.57	38.50	40.39
1	1789	889.9	547.0	378.0	282.0	182.6	15.89	18.05	20.18	22.31	23.37	24.42	25.47	26.52	27.55	28.59	30.63	32.65	34.63	36.59	38.52	40.41
2.5	1786	889.5	547.3	378.4	282.4	183.0	134.6	17.76	20.02	22.23	23.31	24.39	25.46	26.52	27.57	28.61	30.67	32.70	34.70	36.66	38.59	40.48
5	1780	889.0	547.7	379.0	283.1	183.6	135.2	106.4	19.80	22.13	23.26	24.37	25.47	26.55	27.62	28.68	30.77	32.81	34.81	36.78	38.71	40.60
7.5	1774	888.5	548.2	379.7	283.7	184.2	135.8	107.1	19.66	22.09	23.26	24.40	25.52	26.62	27.71	28.78	30.88	32.94	34.95	36.92	38.85	40.74
10	1768	888.0	548.6	380.3	284.4	184.9	136.4	107.8	86.46	22.15	23.33	24.49	25.62	26.73	27.83	28.91	31.03	33.09	35.10	37.07	39.00	40.88
12.5	1762	887.6	549.1	381.0	285.1	185.5	137.0	108.4	87.42	22.37	23.51	24.65	25.79	26.90	28.00	29.08	31.20	33.26	35.27	37.24	39.16	41.04
15	1757	887.1	549.6	381.6	285.7	186.1	137.6	109.1	88.33	22.94	23.86	24.93	26.03	27.13	28.21	29.29	31.40	33.46	35.46	37.42	39.34	41.21
17.5	1752	886.8	550.1	382.3	286.4	186.7	138.2	109.8	89.21	66.99	24.51	25.36	26.37	27.42	28.49	29.54	31.63	33.68	35.67	37.62	39.53	41.39
20	1747	886.4	550.6	382.9	287.1	187.3	138.8	110.4	90.05	69.31	25.92	26.03	26.85	27.81	28.82	29.85	31.90	33.92	35.90	37.84	39.74	41.59
22.5	1742	886.1	551.1	383.6	287.7	187.9	139.4	111.0	90.86	71.17	47.79	27.14	27.51	28.31	29.24	30.21	32.20	34.19	36.15	38.07	39.95	41.79
25	1737	885.8	551.6	384.3	288.4	188.6	140.0	111.6	91.65	72.76	58.25	29.17	28.45	28.95	29.74	30.64	32.55	34.49	36.42	38.32	40.18	42.01
27.5	1732	885.5	552.1	384.9	289.1	189.2	140.6	112.2	92.41	74.18	61.97	33.87	29.82	29.78	30.36	31.14	32.93	34.82	36.71	38.58	40.43	42.24
30	1728	885.3	552.6	385.6	289.7	189.8	141.1	112.9	93.15	75.46	64.56	43.94	31.87	30.85	31.10	31.72	33.36	35.17	37.02	38.86	40.68	42.47
35	1719	884.9	553.7	386.9	291.1	191.0	142.3	114.0	94.58	77.74	68.36	55.79	39.36	34.03	33.08	33.18	34.36	35.97	37.70	39.47	41.23	42.98
40	1711	884.7	554.8	388.3	292.4	192.2	143.4	115.2	95.93	79.75	71.28	61.27	48.57	39.02	35.89	35.11	35.58	36.89	38.47	40.14	41.83	43.53
45	1704	884.5	556.0	389.7	293.7	193.4	144.5	116.3	97.23	81.56	73.71	65.03	54.94	45.02	39.60	37.56	37.02	37.94	39.32	40.86	42.48	44.11
50	1697	884.5	557.2	391.0	295.1	194.6	145.6	117.4	98.48	83.23	75.83	67.99	59.35	50.48	43.85	40.50	38.69	39.12	40.25	41.65	43.16	44.72
55	1690	884.6	558.4	392.4	296.4	195.7	146.7	118.5	99.69	84.78	77.73	70.47	62.76	54.86	48.07	43.75	40.58	40.42	41.26	42.49	43.89	45.37
60	1684	884.7	559.6	393.8	297.7	196.9	147.8	119.6	100.9	86.24	79.46	72.64	65.58	58.41	51.89	47.05	42.64	41.84	42.34	43.38	44.66	46.05
65	1679	885.0	560.9	395.2	299.1	198.1	148.8	120.6	102.0	87.62	81.06	74.57	68.00	61.38	55.22	50.22	44.82	43.34	43.49	44.31	45.45	46.75
70	1673	885.4	562.2	396.6	300.4	199.2	149.9	121.6	103.1	88.93	82.56	76.34	70.13	63.95	58.11	53.15	47.05	44.92	44.69	45.28	46.28	47.48
75	1669	885.9	563.5	398.0	301.7	200.4	150.9	122.7	104.1	90.17	83.97	77.97	72.06	66.22	60.67	55.81	49.27	46.56	45.93	46.29	47.13	48.22
80	1665	886.4	564.9	399.4	303.1	201.5	151.9	123.6	105.2	91.37	85.30	79.49	73.81	68.26	62.96	58.22	51.43	48.21	47.21	47.32	48.00	48.98
85	1661	887.1	566.3	400.8	304.4	202.6	153.0	124.6	106.2	92.52	86.57	80.92	75.44	70.12	65.04	60.43	53.50	49.87	48.51	48.37	48.89	49.75
90	1658	887.9	567.7	402.3	305.7	203.8	154.0	125.6	107.2	93.63	87.78	82.26	76.96	71.83	66.94	62.46	55.48	51.51	49.81	49.44	49.78	50.53
95	1655	888.7	569.1	403.7	307.0	204.9	155.0	126.5	108.2	94.70	88.94	83.54	78.38	73.42	68.69	64.33	57.35	53.12	51.12	50.51	50.69	51.31
100	1652	889.7	570.6	405.1	308.4	206.0	155.9	127.5	109.1	95.74	90.06	84.76	79.73	74.91	70.32	66.07	59.12	54.69	52.42	51.59	51.60	52.10

Values from IAPWS Revised Release on the IAPS Formulation 1985 for the Thermal Conductivity of Ordinary Water Substance, 1998, IAPWS.
