T / K	p / MPa	u / kJ/kg	h / kJ/kg	s / kJ/kgK	v / m3/kg	cp / kJ/kgK	cv / kJ/kgK
2.73160000e+02	6.11657000e+02	2.37491121e+06	2.50091099e+06	9.15549147e+03	2.05997459e+02	1.88822218e+03	1.42214330e+03
2.73534310e+02	6.28495759e+02	2.37542759e+06	2.50159881e+06	9.14548088e+03	2.00751102e+02	1.88846006e+03	1.42233078e+03
2.73908621e+02	6.45744050e+02	2.37594390e+06	2.50228652e+06	9.13550519e+03	1.95654335e+02	1.88870113e+03	1.42252067e+03
2.74282931e+02	6.63410426e+02	2.37646013e+06	2.50297413e+06	9.12556426e+03	1.90702470e+02	1.88894543e+03	1.42271301e+03
2.74657241e+02	6.81503589e+02	2.37697628e+06	2.50366164e+06	9.11565793e+03	1.85890977e+02	1.88919298e+03	1.42290784e+03
2.75031552e+02	7.00032387e+02	2.37749234e+06	2.50434905e+06	9.10578602e+03	1.81215481e+02	1.88944381e+03	1.42310516e+03
2.75405862e+02	7.19005820e+02	2.37800833e+06	2.50503635e+06	9.09594839e+03	1.76671755e+02	1.88969795e+03	1.42330500e+03
2.75780172e+02	7.38433040e+02	2.37852423e+06	2.50572354e+06	9.08614487e+03	1.72255715e+02	1.88995543e+03	1.42350739e+03
2.76154482e+02	7.58323350e+02	2.37904005e+06	2.50641063e+06	9.07637532e+03	1.67963414e+02	1.89021628e+03	1.42371235e+03
2.76528793e+02	7.78686213e+02	2.37955578e+06	2.50709760e+06	9.06663956e+03	1.63791036e+02	1.89048051e+03	1.42391990e+03
2.76903103e+02	7.99531248e+02	2.38007143e+06	2.50778447e+06	9.05693745e+03	1.59734895e+02	1.89074815e+03	1.42413005e+03
2.77277413e+02	8.20868232e+02	2.38058698e+06	2.50847122e+06	9.04726884e+03	1.55791428e+02	1.89101922e+03	1.42434282e+03
2.77651724e+02	8.42707106e+02	2.38110245e+06	2.50915786e+06	9.03763356e+03	1.51957188e+02	1.89129374e+03	1.42455822e+03
2.78026034e+02	8.65057973e+02	2.38161783e+06	2.50984438e+06	9.02803147e+03	1.48228847e+02	1.89157172e+03	1.42477627e+03
2.78400344e+02	8.87931104e+02	2.38213312e+06	2.51053078e+06	9.01846241e+03	1.44603182e+02	1.89185319e+03	1.42499699e+03
2.78774655e+02	9.11336935e+02	2.38264831e+06	2.51121707e+06	9.00892624e+03	1.41077081e+02	1.89213815e+03	1.42522037e+03
2.79148965e+02	9.35286074e+02	2.38316341e+06	2.51190323e+06	8.99942281e+03	1.37647532e+02	1.89242661e+03	1.42544644e+03
2.79523275e+02	9.59789297e+02	2.38367842e+06	2.51258928e+06	8.98995195e+03	1.34311624e+02	1.89271860e+03	1.42567520e+03
2.79897586e+02	9.84857557e+02	2.38419333e+06	2.51327520e+06	8.98051354e+03	1.31066538e+02	1.89301411e+03	1.42590665e+03
2.80271896e+02	1.01050198e+03	2.38470814e+06	2.51396100e+06	8.97110741e+03	1.27909551e+02	1.89331317e+03	1.42614080e+03
2.80646206e+02	1.03673388e+03	2.38522285e+06	2.51464667e+06	8.96173343e+03	1.24838028e+02	1.89361577e+03	1.42637766e+03
2.81020517e+02	1.06356473e+03	2.38573747e+06	2.51533221e+06	8.95239145e+03	1.21849417e+02	1.89392192e+03	1.42661723e+03
2.81394827e+02	1.09100620e+03	2.38625198e+06	2.51601763e+06	8.94308132e+03	1.18941251e+02	1.89423163e+03	1.42685952e+03
2.81769137e+02	1.11907015e+03	2.38676640e+06	2.51670291e+06	8.93380290e+03	1.16111144e+02	1.89454489e+03	1.42710451e+03
2.82143447e+02	1.14776860e+03	2.38728071e+06	2.51738806e+06	8.92455604e+03	1.13356785e+02	1.89486172e+03	1.42735222e+03
2.82517758e+02	1.17711379e+03	2.38779491e+06	2.51807309e+06	8.91534061e+03	1.10675938e+02	1.89518212e+03	1.42760263e+03
2.82892068e+02	1.20711813e+03	2.38830901e+06	2.51875797e+06	8.90615646e+03	1.08066439e+02	1.89550608e+03	1.42785576e+03
2.83266378e+02	1.23779423e+03	2.38882301e+06	2.51944272e+06	8.89700345e+03	1.05526194e+02	1.89583360e+03	1.42811159e+03
2.83640689e+02	1.26915489e+03	2.38933690e+06	2.52012734e+06	8.88788144e+03	1.03053173e+02	1.89616468e+03	1.42837012e+03
2.84014999e+02	1.30121311e+03	2.38985068e+06	2.52081181e+06	8.87879029e+03	1.00645415e+02	1.89649931e+03	1.42863134e+03
2.84389309e+02	1.33398209e+03	2.39036435e+06	2.52149615e+06	8.86972987e+03	9.83010178e+01	1.89683750e+03	1.42889525e+03
2.84763620e+02	1.36747523e+03	2.39087791e+06	2.52218034e+06	8.86070004e+03	9.60181416e+01	1.89717923e+03	1.42916184e+03
2.85137930e+02	1.40170612e+03	2.39139136e+06	2.52286439e+06	8.85170065e+03	9.37950040e+01	1.89752450e+03	1.42943110e+03
2.85512240e+02	1.43668859e+03	2.39190469e+06	2.52354830e+06	8.84273158e+03	9.16298787e+01	1.89787331e+03	1.42970303e+03
2.85886551e+02	1.47243663e+03	2.39241792e+06	2.52423206e+06	8.83379269e+03	8.95210941e+01	1.89822564e+03	1.42997760e+03
2.86260861e+02	1.50896448e+03	2.39293103e+06	2.52491567e+06	8.82488384e+03	8.74670308e+01	1.89858148e+03	1.43025481e+03
2.86635171e+02	1.54628658e+03	2.39344402e+06	2.52559913e+06	8.81600490e+03	8.54661203e+01	1.89894082e+03	1.43053465e+03
2.87009481e+02	1.58441757e+03	2.39395689e+06	2.52628245e+06	8.80715575e+03	8.35168429e+01	1.89930366e+03	1.43081710e+03
2.87383792e+02	1.62337233e+03	2.39446965e+06	2.52696561e+06	8.79833623e+03	8.16177263e+01	1.89966997e+03	1.43110216e+03
2.87758102e+02	1.66316594e+03	2.39498229e+06	2.52764862e+06	8.78954623e+03	7.97673441e+01	1.90003976e+03	1.43138980e+03
2.88132412e+02	1.70381370e+03	2.39549481e+06	2.52833148e+06	8.78078562e+03	7.79643138e+01	1.90041299e+03	1.43168001e+03
2.88506723e+02	1.74533116e+03	2.39600721e+06	2.52901417e+06	8.77205426e+03	7.62072960e+01	1.90078967e+03	1.43197277e+03
2.88881033e+02	1.78773406e+03	2.39651948e+06	2.52969672e+06	8.76335202e+03	7.44949923e+01	1.90116977e+03	1.43226807e+03
2.89255343e+02	1.83103840e+03	2.39703163e+06	2.53037910e+06	8.75467878e+03	7.28261443e+01	1.90155328e+03	1.43256590e+03
2.89629654e+02	1.87526039e+03	2.39754366e+06	2.53106132e+06	8.74603440e+03	7.11995325e+01	1.90194018e+03	1.43286622e+03
2.90003964e+02	1.92041647e+03	2.39805556e+06	2.53174339e+06	8.73741877e+03	6.96139742e+01	1.90233046e+03	1.43316903e+03
2.90378274e+02	1.96652333e+03	2.39856734e+06	2.53242529e+06	8.72883175e+03	6.80683233e+01	1.90272410e+03	1.43347431e+03
2.90752585e+02	2.01359788e+03	2.39907899e+06	2.53310702e+06	8.72027322e+03	6.65614684e+01	1.90312107e+03	1.43378203e+03
2.91126895e+02	2.06165729e+03	2.39959051e+06	2.53378859e+06	8.71174306e+03	6.50923318e+01	1.90352137e+03	1.43409218e+03
2.91501205e+02	2.11071897e+03	2.40010190e+06	2.53446999e+06	8.70324114e+03	6.36598685e+01	1.90392497e+03	1.43440473e+03
2.91875516e+02	2.16080054e+03	2.40061316e+06	2.53515122e+06	8.69476733e+03	6.22630652e+01	1.90433186e+03	1.43471967e+03
2.92249826e+02	2.21191991e+03	2.40112428e+06	2.53583228e+06	8.68632151e+03	6.09009390e+01	1.90474201e+03	1.43503698e+03
2.92624136e+02	2.26409522e+03	2.40163528e+06	2.53651317e+06	8.67790357e+03	5.95725366e+01	1.90515541e+03	1.43535662e+03
2.92998446e+02	2.31734486e+03	2.40214614e+06	2.53719389e+06	8.66951337e+03	5.82769333e+01	1.90557203e+03	1.43567859e+03
2.93372757e+02	2.37168748e+03	2.40265687e+06	2.53787443e+06	8.66115080e+03	5.70132322e+01	1.90599186e+03	1.43600286e+03
2.93747067e+02	2.42714197e+03	2.40316745e+06	2.53855480e+06	8.65281574e+03	5.57805630e+01	1.90641487e+03	1.43632940e+03
2.94121377e+02	2.48372750e+03	2.40367791e+06	2.53923499e+06	8.64450807e+03	5.45780814e+01	1.90684104e+03	1.43665819e+03
2.94495688e+02	2.54146350e+03	2.40418822e+06	2.53991500e+06	8.63622767e+03	5.34049682e+01	1.90727036e+03	1.43698922e+03
2.94869998e+02	2.60036964e+03	2.40469840e+06	2.54059483e+06	8.62797441e+03	5.22604285e+01	1.90770279e+03	1.43732245e+03
2.95244308e+02	2.66046588e+03	2.40520843e+06	2.54127447e+06	8.61974820e+03	5.11436907e+01	1.90813833e+03	1.43765787e+03
2.95618619e+02	2.72177244e+03	2.40571832e+06	2.54195394e+06	8.61154889e+03	5.00540061e+01	1.90857694e+03	1.43799545e+03
2.95992929e+02	2.78430981e+03	2.40622807e+06	2.54263321e+06	8.60337639e+03	4.89906482e+01	1.90901861e+03	1.43833516e+03
2.96367239e+02	2.84809875e+03	2.40673768e+06	2.54331230e+06	8.59523057e+03	4.79529115e+01	1.90946331e+03	1.43867699e+03
2.96741550e+02	2.91316029e+03	2.40724714e+06	2.54399121e+06	8.58711131e+03	4.69401113e+01	1.90991103e+03	1.43902092e+03
2.97115860e+02	2.97951577e+03	2.40775645e+06	2.54466992e+06	8.57901851e+03	4.59515830e+01	1.91036175e+03	1.43936691e+03
2.97490170e+02	3.04718677e+03	2.40826562e+06	2.54534844e+06	8.57095205e+03	4.49866811e+01	1.91081543e+03	1.43971494e+03
2.97864480e+02	3.11619518e+03	2.40877464e+06	2.54602677e+06	8.56291182e+03	4.40447791e+01	1.91127206e+03	1.44006500e+03
2.98238791e+02	3.18656315e+03	2.40928351e+06	2.54670490e+06	8.55489769e+03	4.31252686e+01	1.91173163e+03	1.44041705e+03
2.98613101e+02	3.25831316e+03	2.40979223e+06	2.54738284e+06	8.54690957e+03	4.22275586e+01	1.91219410e+03	1.44077108e+03
2.98987411e+02	3.33146793e+03	2.41030080e+06	2.54806058e+06	8.53894734e+03	4.13510755e+01	1.91265946e+03	1.44112706e+03
2.99361722e+02	3.40605051e+03	2.41080921e+06	2.54873812e+06	8.53101088e+03	4.04952619e+01	1.91312769e+03	1.44148496e+03
2.99736032e+02	3.48208423e+03	2.41131748e+06	2.54941546e+06	8.52310009e+03	3.96595765e+01	1.91359877e+03	1.44184478e+03
3.00110342e+02	3.55959272e+03	2.41182558e+06	2.55009260e+06	8.51521486e+03	3.88434937e+01	1.91407267e+03	1.44220647e+03
3.00484653e+02	3.63859991e+03	2.41233353e+06	2.55076953e+06	8.50735507e+03	3.80465025e+01	1.91454938e+03	1.44257003e+03
3.00858963e+02	3.71913004e+03	2.41284133e+06	2.55144626e+06	8.49952063e+03	3.72681069e+01	1.91502889e+03	1.44293542e+03
3.01233273e+02	3.80120764e+03	2.41334896e+06	2.55212278e+06	8.49171141e+03	3.65078247e+01	1.91551116e+03	1.44330264e+03
3.01607584e+02	3.88485757e+03	2.41385644e+06	2.55279909e+06	8.48392732e+03	3.57651875e+01	1.91599619e+03	1.44367164e+03
3.01981894e+02	3.97010498e+03	2.41436375e+06	2.55347520e+06	8.47616824e+03	3.50397402e+01	1.91648395e+03	1.44404243e+03
3.02356204e+02	4.05697534e+03	2.41487090e+06	2.55415109e+06	8.46843406e+03	3.43310404e+01	1.91697442e+03	1.44441496e+03
3.02730515e+02	4.14549444e+03	2.41537789e+06	2.55482676e+06	8.46072469e+03	3.36386583e+01	1.91746760e+03	1.44478923e+03
3.03104825e+02	4.23568839e+03	2.41588472e+06	2.55550222e+06	8.45304002e+03	3.29621761e+01	1.91796346e+03	1.44516521e+03
3.03479135e+02	4.32758361e+03	2.41639137e+06	2.55617746e+06	8.44537994e+03	3.23011878e+01	1.91846199e+03	1.44554289e+03
3.03853445e+02	4.42120684e+03	2.41689787e+06	2.55685249e+06	8.43774434e+03	3.16552986e+01	1.91896317e+03	1.44592224e+03
3.04227756e+02	4.51658517e+03	2.41740419e+06	2.55752729e+06	8.43013313e+03	3.10241248e+01	1.91946698e+03	1.44630324e+03
3.04602066e+02	4.61374600e+03	2.41791035e+06	2.55820187e+06	8.42254619e+03	3.04072934e+01	1.91997342e+03	1.44668588e+03
3.04976376e+02	4.71271706e+03	2.41841633e+06	2.55887623e+06	8.41498343e+03	2.98044418e+01	1.92048246e+03	1.44707014e+03
3.05350687e+02	4.81352642e+03	2.41892214e+06	2.55955036e+06	8.40744474e+03	2.92152172e+01	1.92099411e+03	1.44745599e+03
3.05724997e+02	4.91620248e+03	2.41942778e+06	2.56022427e+06	8.39993003e+03	2.86392769e+01	1.92150833e+03	1.44784344e+03
3.06099307e+02	5.02077398e+03	2.41993325e+06	2.56089794e+06	8.39243918e+03	2.80762874e+01	1.92202512e+03	1.44823245e+03
3.06473618e+02	5.12727001e+03	2.42043854e+06	2.56157139e+06	8.38497211e+03	2.75259244e+01	1.92254448e+03	1.44862301e+03
